Gene name	Human gene name
sat2a	SAT2
phospho1	PHOSPHO1
cacna1sa	CACNA1S
vps33a	VPS33A
vps33a	AC048338.1
pdcl	PDCL
leng1	LENG1
smarcad1b	SMARCAD1
mettl21a	METTL21A
tank	TANK
oprd1b	OPRD1
abi2b	
tada2b	TADA2B
csgalnact2	CSGALNACT2
hes6	HES6
has3	HAS3
plcb3	PLCB3
slc6a22.1	SLC6A16
mbpb	MBP
si:ch211-238e22.2	
neu3.4	NEU3
eif2b1	EIF2B1
natd1	NATD1
polr2d	POLR2D
fam193a	FAM193A
slc26a4	SLC26A4
zgc:123217	PRSS42
zgc:123217	PRSS33
zgc:123217	TMPRSS12
zgc:123217	PRSS57
zgc:123217	PRSS27
zgc:123217	KLK15
zgc:123217	PRSS50
zgc:123217	PRSS50
zgc:123217	PRSS48
zgc:123217	AC011473.4
zgc:123217	KLK9
zgc:123217	PRSS37
flr	TTC30B
flr	TTC30A
tma16	TMA16
becn1	BECN2
becn1	BECN1
tbl1xr1b	
irx5a	IRX5
mbpb	MBP
lamtor2	LAMTOR2
zbtb16a	ZBTB16
pabpc1b	PABPC1L2B
pabpc1b	PABPC1L2A
ripor1	RIPOR1
slc7a3a	SLC7A3
tmem244	TMEM244
neurod2	NEUROD2
pole	POLE
rad51	RAD51
mob2a	MOB2
zgc:123321	YIPF7
actl6a	ACTL6A
stub1	STUB1
zgc:171731	
pak4	PAK4
rab42a	
lipia	LIPH
pth2	PTH2
FP016062.1	SLC35A3
alg1	ALG1L2
alg1	ALG1
alg1	ALG1L
or127-1	
epcam	EPCAM
epcam	TACSTD2
aldoab	ALDOA
aldoab	AC093512.2
rbpms2b	RBPMS2
rab1ab	
cirbpb	
irf2bp2b	IRF2BP2
zgc:171775	
si:ch211-262h13.5	
cirbpb	
rmdn3	RMDN3
l3mbtl3	L3MBTL3
rangrf	RANGRF
guca1g	GUCA1C
guca1g	HPCAL4
rxrbb	RXRB
irx4b	
tert	TERT
phf19	PHF19
wdr73	WDR73
ppp1r12a	PPP1R12A
tnnt2d	TNNT2
klf9	KLF9
skap1	SKAP1
tmem144b	TMEM144
zgc:101566	
zgc:101810	ACTL8
zgc:101810	ACTL7B
zgc:101810	ACTRT1
zgc:101810	ACTRT3
zgc:101810	ACTR1B
zgc:101810	ACTRT2
zgc:101810	ACTL10
zgc:101810	ACTL9
ankrd54	ANKRD54
grpel1	GRPEL1
valopb	
fkbp2	AP001453.5
fkbp2	FKBP2
rab39ba	RAB39B
chst1	CHST1
slc51a	
c3b.1	C3
oxa1l	OXA1L
rps6ka1	RPS6KA1
zgc:153681	NXF5
zgc:153681	NXF2
zgc:153681	NXF2B
zgc:153681	NXF1
zgc:153681	NXF3
neu3.5	NEU3
uck1	UCK1
dazl	DAZL
dazl	DAZ2
dazl	DAZ1
dazl	DAZ3
dazl	DAZ4
myh11a	MYH11
wash1	WASHC1
irx1b	
fam172a	FAM172A
vax1	VAX1
sgms2b	SGMS2
tmem63a	TMEM63A
h2afx	
mrps22	MRPS22
zgc:171927	
uts2b	UTS2
zgc:152863	
f5	F5
mpi	MPI
dnlz	DNLZ
cpt1b	CPT1B
ggact.3	GGACT
pdp1	PDP1
dusp8a	DUSP8
cdca5	CDCA5
or121-1	
zgc:63568	ADH5
zgc:63568	ADH7
zgc:63568	ADH6
zgc:63568	ADH1B
zgc:63568	ADH1A
zgc:63568	ADH1C
zgc:63568	ADH4
zcchc7	ZCCHC7
zgc:153292	ARL14EPL
zgc:153292	THAP6
zgc:153292	AC073612.1
zgc:153292	THAP2
or122-1	
csf1b	CSF1
rs1a	
ggact.2	GGACT
arg1	ARG1
adh8b	ADH5
adh8b	ADH7
adh8b	ADH6
adh8b	ADH1B
adh8b	ADH1A
adh8b	ADH1C
adh8b	ADH4
si:ch211-243g18.2	
cdkn3	CDKN3
si:ch211-244o22.2	CDCA2
tm7sf2	TM7SF2
psme3	PSME3
ip6k2b	IP6K2
clp1	CLP1
prkcba	PRKCB
zdhhc9	ZDHHC9
socs4	SOCS4
fermt3b	FERMT3
tmem125b	TMEM125
si:ch211-42i9.8	FNIP2
hoxb1b	HOXB1
slain1a	SLAIN1
zgc:113142	
znf800a	ZNF800
fndc3ba	FNDC3B
rps6kal	RPS6KA6
ccdc3b	
ppp1r3ca	PPP1R3C
chkb	CHKB
chkb	CHKB-CPT1B
src	SRC
vps51	VPS51
ppef1	PPEF1
elk3	ELK3
alg12	ALG12
nrxn1a	
kat5a	
tcf7l2	TCF7L2
nrxn1a	
relch	RELCH
kcnh5a	KCNH5
crata	CRAT
trmo	TRMO
lrrc3	LRRC3
ccnb3	CCNB3
tuft1b	
trmo	TRMO
rapsn	RAPSN
kcnq2a	KCNQ2
hsd17b8	HSD17B8
hspa14	HSPA14
hspa14	HSPA14
nkl.4	
jph2	JPH2
aifm1	AIFM1
sfxn3	SFXN3
trim35-29	
wnt7aa	WNT7A
tmem204	TMEM204
ISCU (1 of many)	ISCU
tnfrsf9b	
mat2aa	MAT2A
pdcd11	PDCD11
nrxn1a	
mef2ca	MEF2C
twf1b	TWF1
hmgxb4a	HMGXB4
npc1	NPC1
CR956623.1	ACBD5
trabd	TRABD
zgc:162160	
syndig1l	SYNDIG1L
ino80c	INO80C
pla2g6	PLA2G6
cep68	CEP68
crb3b	
si:dkeyp-104h9.5	KIAA2013
ube3d	UBE3D
rabep1	RABEP1
tmem243b	TMEM243
spc24	SPC24
cplx2	
clasp2	CLASP2
si:ch73-359m17.2	
map2k4a	MAP2K4
foxe3	FOXE1
asb1	ASB1
zgc:174703	
mars	MARS
cishb	CISH
dnal1	DNAL1
gc2	GUCY2F
meig1	MEIG1
zgc:152658	GIMAP1
zgc:152658	GIMAP2
zgc:152658	GIMAP4
zgc:152658	GIMAP6
slc10a2	SLC10A2
AL928851.1	
zgc:195245	
crybb1l2	CRYGD
crybb1l2	CRYGB
crybb1l2	CRYGC
crybb1l2	CRYGA
kita	KIT
AL928851.2	
stam	STAM
si:dkey-88n24.6	
acp2	ACP2
si:dkey-88n24.6	
fxyd6	FXYD6
slx4ip	SLX4IP
hcrt	HCRT
fam219ab	FAM219A
gtf2h3	GTF2H3
psmg1	PSMG1
fxr1	FXR1
tonsl	TONSL
znf598	ZNF598
fgf20b	FGF20
clasp2	CLASP2
twist2	TWIST2
znf143a	ZNF143
si:ch211-132b12.7	
dclre1c	DCLRE1C
fxr1	FXR1
rab11al	
tmem150ab	TMEM150A
c2cd2l	C2CD2L
ppfia4	PPFIA4
prdm8b	PRDM8
AL928851.3	
slc25a35	SLC25A35
kcnh4a	KCNH4
foxd2	FOXD1
or118-1	
rcc1	RCC1
mylipb	MYLIP
or122-2	
zgc:194443	GIMAP1
zgc:194443	GIMAP2
zgc:194443	GIMAP4
zgc:194443	GIMAP6
ncam1a	NCAM1
tsen2	TSEN2
faf1	FAF1
defbl2	
aplnra	APLNR
foxd1	
atad5b	
sult2st1	SULT1E1
sult2st1	AC108941.2
sult2st1	SULT2A1
sult2st1	SULT1A2
sult2st1	SULT1A1
sult2st1	SULT1A3
sult2st1	SULT1A4
ppp1r14ba	PPP1R14B
kcnip3b	KCNIP3
mkks	MKKS
si:ch211-197g15.10	IFI44L
si:ch211-197g15.10	IFI44
si:ch211-284e13.5	
trabd2b	
elovl5	ELOVL5
BX927391.1	B3GNT2
tefm	TEFM
tlr20.2	
znf362a	ZNF362
apopt1	APOPT1
ubash3bb	UBASH3B
grsf1	
flii	FLII
fam107b	FAM107B
slc38a4	SLC38A4
smim14	SMIM14
ufl1	UFL1
commd1	COMMD1
slc6a22.2	SLC6A7
slc6a22.2	SLC6A16
dync1i2a	DYNC1I2
sulf2b	SULF2
clic3	CLIC3
ctsh	CTSH
ogfod1	OGFOD1
fam107b	FAM107B
fbxl8	AC074143.2
fbxl8	FBXL8
cetn3	CETN3
yif1b	YIF1B
bcl2l11	BCL2L11
cdh11	CDH11
ranbp1	RANBP2
hccsa.1	HCCS
dgcr8	DGCR8
asb11	
arr3b	ARR3
slc25a48	SLC25A48
si:dkey-93h22.8	PPRC1
pcbp4	PCBP4
memo1	MEMO1
or113-1	
rasl11a	
zgc:136971	DPP4
or118-3	
aldh9a1a.1	ALDH9A1
dnase1l4.2	
six7	ANHX
gnpnat1	GNPNAT1
zgc:173577	
kyat3	
chd1	CHD1
cdk17	CDK17
srd5a2b	SRD5A2
coa3b	
zgc:136864	C19orf53
fam210b	FAM210B
or113-2	
tmem141	TMEM141
bhlha15	BHLHA15
pnpla7a	PNPLA7
plekho1b	PLEKHO1
tsen15	TSEN15
vps37a	VPS37A
tmem11	TMEM11
vim	VIM
si:ch211-217k17.10	
si:ch211-212o1.2	
fbxo30b	
nrxn3a	
slc26a3.2	SLC26A3
pkmyt1	PKMYT1
mpzl1l	MPZL1
stm	
zgc:113443	
hif1al	HIF3A
ighmbp2	IGHMBP2
nptx2b	NPTX2
styx	STYX
si:ch211-131k2.3	PTGES3L
asph	
arl6ip1	ARL6IP1
arl6ip1	AC138811.2
rtn4ip1	RTN4IP1
trdmt1	TRDMT1
hdac4	HDAC4
calcrla	
si:ch211-217k17.7	CCDC86
zgc:158320	
prpf31	PRPF31
azin1b	AZIN1
pdzd7a	PDZD7
lemd3	LEMD3
si:ch211-14a17.11	C14orf119
hspe1	HSPE1
vps54	VPS54
gmeb1	GMEB1
or118-2	
fcho2	FCHO2
lrrc8aa	LRRC8A
mylpfb	MYLPF
slc6a18	SLC6A18
hspe1	HSPE1
caskb	CASK
si:ch211-14a17.11	C14orf119
si:ch211-14a17.11	C14orf119
ptpdc1a	PTPDC1
shhb	SHH
txndc9	TXNDC9
hspe1	HSPE1
zgc:152857	
ryk	RYK
txndc9	TXNDC9
txndc9	TXNDC9
ak7a	
eef1b2	EEF1B2
uhrf1	UHRF1
fth1b	FTH1
phf5a	PHF5A
mrpl30	AC092587.1
pcgf5a	
dtd2	DTD2
s1pr5a	S1PR5
rbm39b	
gabrz	
dnm1l	DNM1L
arg2	ARG2
mrpl14	MRPL14
sox5	SOX5
iqce	
zgc:110269	
dll4	NOTCH4
dll4	JAG2
lancl1	LANCL1
zgc:86598	
g6pca.1	G6PC
crygs1	CRYGS
slc39a7	SLC39A7
ogdha	OGDH
pfdn2	PFDN2
slc1a4	SLC1A4
tefa	TEF
pak2a	PAK2
g6pca.1	G6PC
birc5b	NLRC4
irx3a	IRX3
nepro	NEPRO
pimr141	
hspd1	HSPD1
b4gat1	B4GAT1
eml2	EML2
nubpl	NUBPL
eef1b2	EEF1B2
trim23	TRIM23
cdkn2c	CDKN2C
or107-1	
cab39l	CAB39L
parietopsin	
or111-1	
ppiaa	PPIAL4F
ppiaa	PPIAL4E
ppiaa	PPIAL4D
ppiaa	PPIAL4G
ppiaa	PPIAL4C
ppiaa	PPIAL4H
ppiaa	PPIAL4A
ppiaa	PPIA
drp2	DRP2
gad1b	GAD1
or111-3	
aspn	ASPN
or111-4	
klhl6	
sort1a	SORT1
or111-5	
nit1	NIT1
si:ch211-133n4.6	
gria4b	GRIA4
dus4l	DUS4L
bhlhe23	
nme2a	NME1-NME2
or119-2	
sertad2b	SERTAD2
b3galt6	B3GALT6
or111-2	
si:dkeyp-69e1.8	GIMAP1
si:dkeyp-69e1.8	GIMAP2
si:dkeyp-69e1.8	GIMAP4
si:dkeyp-69e1.8	GIMAP6
desma	DES
mrpl11	MRPL11
ggact.1	GGACT
ing5b	ING5
pa2g4a	PA2G4
pa2g4a	AC034102.2
shmt1	SHMT1
ogna	OGN
desma	DES
cry1a	CRY1
zbed4	ZBED4
zgc:162939	
hspa4b	HSPA4
ddx11	DDX11
lzts2a	LZTS2
rnd1a	RND1
ywhaz	
her11	HES7
cdc5l	CDC5L
il15l	
si:ch211-132b12.8	CNTD2
itga11a	ITGA11
cfap45	CFAP45
cdadc1	CDADC1
ppm1k	PPM1K
cenpp	CENPP
il15l	
kdelc1	KDELC1
pkhd1l1	PKHD1L1
exosc4	EXOSC4
her5	
rap1gap	RAP1GAP
tnfsf10l3	
sept8b	SEPT8
fgf5	FGF5
pfdn6	PFDN6
ccdc12	CCDC12
myh7	MYH6
ddx39aa	DDX39A
dnajb6a	
opn1mw1	
eif2b2	EIF2B2
tmem167b	TMEM167B
akr1a1a	AKR7A2
akr1a1a	AKR1C1
akr1a1a	AKR1C3
akr1a1a	AKR1B10
akr1a1a	AKR1C2
akr1a1a	AKR7A3
akr1a1a	AKR1B15
akr1a1a	AKR1C8P
akr1a1a	AKR1C4
qrich1	QRICH1
anxa1c	ANXA1
nol8	NOL8
zgc:194392	C1orf115
appa	APP
rnf11b	RNF11
cbln1	CBLN1
itln3	ITLN2
selenow1	SELENOW
dnajb9a	DNAJB9
trim35-39	
pcnp	PCNP
pcnp	PCNP
supt5h	SUPT5H
capn1a	CAPN11
ecd	ECD
traf1	TRAF1
nipsnap3a	NIPSNAP3B
nipsnap3a	NIPSNAP3A
slc5a12	SLC5A12
zgc:101559	
slu7	SLU7
tmed10	TMED10
zgc:110224	AP002495.2
tpbgb	TPBG
pcnp	PCNP
zgc:175135	
tmed10	TMED10
pcnp	PCNP
comp	COMP
adhfe1	ADHFE1
adhfe1	AC009879.3
adhfe1	AC009879.2
neurod4	NEUROD4
gsdmeb	GSDME
dpagt1	DPAGT1
pak1ip1	PAK1IP1
si:dkey-7n6.2	
rbb4l	RBBP7
zgc:163079	TPSG1
zgc:163079	TPSAB1
zgc:163079	TPSB2
zgc:163079	TPSD1
psmd5	PSMD5
irs2a	IRS2
sos2	SOS2
ctcf	CTCF
fshr	FSHR
pdap1b	PDAP1
fopnl	FOPNL
scpp1	
rpusd4	RPUSD4
xkr8.3	XKR8
psmd7	PSMD7
tmem45a	TMEM45A
zgc:113364	
pcnp	PCNP
lpar1	LPAR1
myl1	MYL1
slc1a7a	SLC1A7
adh8a	ADH5
adh8a	ADH7
adh8a	ADH6
adh8a	ADH1B
adh8a	ADH1A
adh8a	ADH1C
adh8a	ADH4
ulk1a	ULK1
rgcc	RGCC
slc1a7a	SLC1A7
htr2cl1	HTR2C
fkbp6	FKBP6
rprml	RPRML
bud31	BUD31
tmed3	TMED3
si:ch73-311h14.2	
zgc:109949	RTBDN
vcp	VCP
zgc:162944	
col4a3bpa	COL4A3BP
acot11b	ACOT11
junbb	JUNB
col4a3bpa	COL4A3BP
slc4a4a	
vti1b	VTI1B
ret	RET
ssbp4	SSBP4
phactr4b	PHACTR4
twf2b	TWF2
lgalslb	LGALSL
gad2	GAD2
znf1157	
ndrg3a	NDRG3
mylz3	MYL1
bcap29	BCAP29
si:dkey-32m20.1	TMEM236
zgc:77938	ADH5
zgc:77938	ADH7
zgc:77938	ADH6
zgc:77938	ADH1B
zgc:77938	ADH1A
zgc:77938	ADH1C
zgc:77938	ADH4
cadm2a	CADM2
trim62	TRIM62
fam19a5a	FAM19A5
sart3	SART3
ist1	IST1
hinfp	HINFP
barx1	BARX1
ndufs6	NDUFS6
ist1	IST1
zgc:113176	
tgm2a	TGM2
pax5	PAX5
gnpda1	GNPDA1
dguok	DGUOK
tnfrsf1b	TNFRSF10B
tnfrsf1b	TNFRSF4
tnfrsf1b	TNFRSF8
tnfrsf1b	TNFRSF10D
tnfrsf1b	TNFRSF18
tnfrsf1b	TNFRSF11A
tnfrsf1b	TNFRSF10A
tnfrsf1b	TNFRSF10C
tnfrsf1b	TNFRSF14
tnfrsf1b	TNFRSF25
tnfrsf1b	CD27
tnfrsf1b	LTBR
tnfrsf1b	TNFRSF1B
sec22ba	SEC22B
ATG14	ATG14
ccdc130	CCDC130
znf1161	
tnni2b.2	TNNI2
akr1a1b	AKR1A1
csf1ra	CSF1R
kcnk5b	KCNK5
trmt2a	TRMT2A
vtg2	
vtg2	
ghsra	GHSR
fam8a1b	FAM8A1
tfb1m	TFB1M
rgs7bpa	RGS7BP
nucb2a	NUCB2
slc1a3b	SLC1A3
tmem200a	TMEM200A
sult2st2	SULT1E1
sult2st2	AC108941.2
sult2st2	SULT2A1
sult2st2	SULT1A2
sult2st2	SULT1A1
sult2st2	SULT1A3
sult2st2	SULT1A4
srrt	SRRT
wdr83	WDR83
myl7	MYL7
zcchc8	ZCCHC8
zgc:171446	PZP
zgc:171446	A2ML1
bmp3	BMP3
slc25a44a	SLC25A44
ube2g2	UBE2G2
slc35a3b	SLC35A3
rab5c	RAB5C
lig4	LIG4
klc1a	KLC1
klc1a	AL139300.1
gbp	
prpf38a	PRPF38A
krt5	
appbp2	APPBP2
pimr52	
per2	PER2
panx2	PANX2
flcn	AC055811.2
flcn	FLCN
ssbp3b	SSBP3
ilvbl	ILVBL
zgc:65894	TUBB4B
slc8a4a	
grm8b	GRM8
cfap299	CFAP299
glb1	GLB1
si:ch211-163l21.7	C1orf194
si:ch1073-376c22.1	
g6pca.2	G6PC
grhprb	
mfsd5	MFSD5
arrdc3b	ARRDC3
psma5	PSMA5
snrpa	
meis1b	MEIS1
heatr1	HEATR1
pparg	
srsf7a	
tnfsf12	
dcaf13	DCAF13
zgc:55943	C1orf21
pou3f2a	POU5F2
phf2	PHF2
si:ch1073-67j19.1	
zgc:55943	C1orf21
n4bp1	AC026470.1
zgc:110782	AKR7A2
zgc:110782	AKR1C1
zgc:110782	AKR1C3
zgc:110782	AKR1B10
zgc:110782	AKR1C2
zgc:110782	AKR7A3
zgc:110782	AKR1B15
zgc:110782	AKR1C8P
zgc:110782	AKR1C4
mpl	MPL
mpl	IL9R
mpl	IL4R
glra1	GLRA1
zc3h18	ZC3H18
nr1i2	NR1I2
wif1	WIF1
fam122b	FAM122A
fam122b	FAM122C
fam122b	FAM122B
mxtx2	DUX4
g2e3	G2E3
spry2	SPRY2
si:ch211-194e15.5	KIAA1522
sft2d2a	SFT2D2
stxbp3	STXBP3
il17c	
gck	GCK
acod1	ACOD1
mrc1b	MRC1
mogs	MOGS
wdr61	WDR61
zmynd19	ZMYND19
ddx3xb	DDX3X
ddx3xb	DDX3Y
krt97	
xpnpep2	XPNPEP2
plxna3	PLXNA3
mybl2a	MYBL1
nt5dc1	NT5DC1
men1	MEN1
hsp70.3	HSPA2
mettl2a	METTL2B
mettl2a	METTL2A
si:ch1073-67j19.2	
tie1	TIE1
usf2	USF2
foxn2b	FOXN2
sparcl1	SPARCL1
si:dkey-10f21.4	TMEM56-RWDD3
si:dkey-10f21.4	TMEM56
casp9	CASP9
mical1	MICAL1
timp4.3	TIMP4
insb	INS-IGF2
insb	INS
si:ch211-175m2.5	
ino80	INO80
nfkb2	
ndfip1	NDFIP1
tmprss13a	
echs1	ECHS1
afmid	AFMID
p2rx2	P2RX2
mitfa	MITF
timp4.2	TIMP4
gfi1b	GFI1B
porb	POR
mrpl47	MRPL47
psmb2	PSMB2
fgb	FGB
cacnb2b	
cacnb2b	
fuom	FUOM
phyh	PHYH
zfyve28	ZFYVE28
topbp1	TOPBP1
nup88	NUP88
chac1	CHAC1
s100b	S100B
mrpl36	MRPL36
fosab	FOS
gpatch4	GPATCH4
gorasp2	GORASP2
neurod6a	NEUROD6
rmi1	RMI1
kcnmb2	KCNMB2
kcnmb2	AC117457.1
kcnmb2	KCNMB1
zfyve26	ZFYVE26
stard4	STARD4
cap1	CAP1
ube2kb	UBE2K
dse	Z84488.2
dse	DSE
brms1	BRMS1L
brms1	BRMS1
fam241a	FAM241B
fam241a	FAM241A
ccl20a.3	
syn2b	
anos1b	
vangl2	VANGL2
stxbp5a	STXBP5
gclc	GCLC
rdh12	RDH11
thg1l	THG1L
mlc1	MLC1
mesd	MESD
kdelc2	KDELC2
slc26a3.1	SLC26A3
cpsf4	CPSF4
hmmr	HMMR
nfkbiab	
zgc:77262	
ccnc	CCNC
ppp1r14bb	PPP1R14B
cant1b	CANT1
trim55a	TRIM55
smim19	SMIM19
cast	CAST
anxa2a	ANXA2
gucy2d	GUCY2F
pdgfra	PDGFRA
pdgfra	AC058822.1
atp5mf	
zgc:92360	ADAP2
znhit2	ZNHIT2
znf706	
znf706	
pvalb7	PVALB
mtmr7b	MTMR7
tmem110l	
znf362b	ZNF362
adrb2b	ADRB2
ago2	AGO2
atp2a1	ATP1A4
nr1d4a	
krt8	
si:ch211-253b8.2	ZNF668
si:ch211-253b8.2	ZNF579
si:ch211-253b8.2	ZNF358
dync1li1	DYNC1LI1
igsf3	IGSF3
znf706	
znf706	
si:ch211-107o10.3	
ubtd2	UBTD2
cdh5	
sacm1la	SACM1L
ikbkb	IKBKB
trpc2b	
rtn4rl2a	RTN4RL2
ft1	FUT9
lhx8a	LHX8
zgc:112356	MAF1
piga	PIGA
chchd3a	CHCHD3
siah1	SIAH1
ndfip2	NDFIP2
zgc:162612	
ca10a	CA10
fgf1a	FGF9
fgf1a	FGF1
fgf1a	FGF21
fgf1a	FGF17
fgf1a	FGF2
chchd3a	CHCHD3
api5	API5
jdp2b	JDP2
mob1a	
pgm1	PGM1
casc1	CASC1
zbtb12.2	ZBTB12
slirp	SLIRP
arhgap36	ARHGAP36
si:ch211-155m12.1	
opn1mw2	
fbxo34	FBXO34
gbx2	GBX2
eif3s10	EIF3A
cenpl	CENPL
slc6a19a.1	
ficd	FICD
cd7al	
arhgap36	ARHGAP36
orc1	ORC1
batf	BATF
plaub	PLAU
crabp1a	CRABP1
ube3a	UBE3A
tmco1	TMCO1
supt7l	SUPT7L
bckdhb	BCKDHB
col9a1b	COL9A1
mthfd2	
sh3bp4a	SH3BP4
akt2	AKT2
ndufb5	NDUFB5
ncf4	NCF4
dhodh	DHODH
adck1	ADCK1
shrprbck1r	SHARPIN
adtrp1	
tpi1b	TPI1
ticam1	TICAM2
arpc5b	ARPC5
ifngr2	AP000295.1
ifngr2	IFNAR2
ifngr2	IL22RA1
ifngr2	IL10RA
ifngr2	IFNGR1
myom2a	MYOM2
elmod1	ELMOD1
sema4c	SEMA4C
elovl6	ELOVL6
midn	MIDN
dhrs7b	DHRS7B
zgc:194655	
gsk3b	GSK3B
ucmaa	UCMA
ppt1	PPT1
baiap2l2b	BAIAP2L2
slc35f2	SLC35F2
urp2	
rps16	RPS16
scn12aa	SCN10A
ptprna	PTPRN
nkrf	NKRF
plod1a	PLOD1
lhcgr	LHCGR
lhcgr	AC073082.1
klf12a	KLF12
rhot1b	RHOT1
lpcat3	LPCAT3
ssx2ipa	SSX2IP
shda	SHD
pitx2	
sfxn1	SFXN1
agfg1b	AGFG1
foxl2a	FOXL2
trpm4a	TRPM4
si:ch211-113e8.5	GIMAP1
si:ch211-113e8.5	GIMAP2
si:ch211-113e8.5	GIMAP4
si:ch211-113e8.5	GIMAP6
sfrp1a	SFRP1
ehmt1a	EHMT1
dek	DEK
rrm1	RRM1
adam9	ADAM9
mcm10	MCM10
adkb	ADK
mapk8a	MAPK8
yju2	YJU2
ugt1b1	
loxl2b	LOXL2
slc29a4	SLC29A4
ndrg2	NDRG2
impa1	IMPA1
ugt1b5	UGT1A1
capn2a	CAPN2
ppfibp1a	PPFIBP1
arl4ca	ARL4C
opn1mw3	
drd7	
tbc1d22a	TBC1D22A
scp2a	SCP2
inpp5ka	INPP5K
ugt1b4	UGT1A1
ubap2l	UBAP2L
or111-6	
bzw1b	BZW1
tubd1	TUBD1
ugt1b7	UGT1A1
or111-7	
dhx37	DHX37
musk	
ptgr2	AC005520.1
ptgr2	PTGR2
ugt1b2	UGT1A1
sgta	SGTA
hook2	HOOK2
nol10	NOL10
gsx2	GSX2
slc38a2	SLC38A2
ptpn13	PTPN13
musk	
ugt1b3	UGT1A1
fkbp4	FKBP4
eif4eb	EIF4E
tcf21	TCF21
sh3gl2a	SH3GL2
kctd12.1	KCTD12
emsy	EMSY
cdk20	CDK20
nr2f1b	
htr1aa	HTR1B
htr1aa	HTR1F
htr1aa	HTR1E
exoc4	EXOC4
faub	
trpc7a	TRPC7
or111-8	
nup58	NUP58
apln	APLN
AL845428.3	
zdhhc5a	ZDHHC5
sdccag8	
trpc3	TRPC3
shank2b	SHANK2
si:ch211-68a17.7	C12orf73
zgc:171506	
ptpn4b	PTPN4
oaz2b	OAZ2
atp6v1c1b	ATP6V1C1
zgc:171506	
arfip1	ARFIP1
mks1	MKS1
runx2a	RUNX2
ela3l	
tbc1d5	TBC1D5
lingo2b	LINGO2
opn1mw4	
si:ch211-264f5.2	FCAMR
tjp2a	AL358113.1
tjp2a	TJP2
zgc:110410	
zgc:110410	
gnrh3	GNRH1
gnrh3	GNRH2
trpa1a	TRPA1
or111-10	
tjp2a	AL358113.1
tjp2a	TJP2
cmklr1	CMKLR1
mob1ba	MOB1B
tfpia	TFPI
ptp4a3	
tfpia	TFPI
spsb1	SPSB1
emx2	EMX2
krt96	
galca	GALC
qrsl1	QRSL1
anxa1b	ANXA1
agk	AGK
msh6	MSH6
mospd1	MOSPD1
usp13	USP13
stk35l	STK35
rgs9bp	
tradd	TRADD
ndufab1a	NDUFAB1
ttc14	TTC14
slc6a7	SLC6A16
tbpl1	TBPL1
fut7	FUT5
fut7	FUT6
fut7	FUT3
si:zfos-1192g2.3	MALSU1
ublcp1	UBLCP1
vwa8	VWA8
supt3h	SUPT3H
or111-11	
ublcp1	UBLCP1
zgc:174888	
nudt18	NUDT18
rab18b	RAB18
tdo2b	TDO2
llgl2	LLGL2
itm2ba	ITM2B
nap1l4b	NAP1L4
or103-1	
mtmr2	MTMR2
zgc:153119	C19orf54
cadm1a	CADM1
il10ra	AP000295.1
il10ra	IFNAR2
il10ra	IFNGR1
or103-5	
bspry	
pimr49	
lgals1l1	LGALS2
ezrb	EZR
cnn3b	CNN3
sema3b	SEMA3B
cyb561	CYB561
zgc:174862	
aarsd1	AARSD1
aarsd1	PTGES3L-AARSD1
ube2a	UBE2A
fbxo36b	FBXO36
kdm6al	
lgalsla	LGALSL
synpr	SYNPR
sema3bl	SEMA3G
spred2b	SPRED2
tfap2e	TFAP2E
MCUR1	MCUR1
tnfsf10l4	
klhl31	KLHL31
mplkip	MPLKIP
grwd1	GRWD1
sult1st6	SULT1C4
hpdl	HPDL
znf692	
cerk	CERK
gtf2a1	GTF2A1
lnx1	LNX1
fbxo11a	
drg1	DRG1
arhgap4a	ARHGAP4
lonp2	LONP2
zgc:175214	
pax7b	PAX7
gripap1	GRIPAP1
trhr2	
adprh	ADPRH
gpr157	GPR157
flj11011l	AC022826.2
flj11011l	UBE2W
rhoj	RHOJ
ttll3	TTLL3
ttll3	ARPC4-TTLL3
elf2a	
ndufs1	NDUFS1
zgc:101716	C8orf76
zgc:101716	ZHX1-C8orf76
mob4	MOB4
mob4	HSPE1-MOB4
zgc:173548	
tekt1	TEKT1
mrpl27	MRPL27
gpr161	GPR161
zgc:100846	C9orf72
myf6	MYF6
lgals2a	LGALS2
zgc:174314	
ino80db	INO80D
wdr26b	WDR26
pibf1	PIBF1
g3bp1	G3BP1
slco1c1	SLCO1A2
slco1c1	AC011604.2
slco1c1	SLCO1B3
slco1c1	SLCO1B1
slco1c1	SLCO1B7
slco1c1	AC022335.1
slco1c1	SLCO1C1
eloca	
ptpn18	
rps13	RPS13
sept5b	SEPT5
sept5b	AC000093.1
lpcat1	LPCAT1
uck2a	UCK2
malt2	
prkg2	PRKG2
prim1	AC117378.1
prim1	PRIM1
tmub1	TMUB1
si:dkey-122c11.1	
myo3a	MYO3A
ches1	FOXN3
si:dkey-18p12.4	
dnajb2	
egr1	
il34	
rabggta	RABGGTA
si:ch211-57i17.1	FEZ2
zgc:113054	CBR3
zgc:113054	DHRS2
cnot3a	CNOT3
nek8	AC010761.1
bin2b	BIN2
tdg.1	TDG
vhll	
rftn2	RFTN2
lgals3b	LGALS7
lgals3b	LGALS7B
lgals3b	LGALS1
lgals3b	LGALS12
lgals3b	LGALS9
lgals3b	LGALS9B
lgals3b	LGALS9C
lgals3b	LGALS16
lgals3b	LGALS13
lgals3b	LGALS14
lgals3b	CLC
